# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.054785921050e-05      -2.895392397502e-08      -2.795096827100e-09      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       2.512280969268e+01 
       1.327896800012e-05      -5.730746728236e-08      -5.532089501611e-09      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       3.137332504958e+01 
       1.671723025776e-05      -1.134207903966e-07      -1.094907287286e-08      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       3.917858057388e+01 
       2.104574598631e-05      -2.244840877348e-07      -2.167025184137e-08      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       4.892550418715e+01 
       2.649502443233e-05      -4.442941648881e-07      -4.288945426417e-08      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       6.109727933781e+01 
       3.335525954396e-05      -8.793385480952e-07      -8.488607150937e-08      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       7.629705702544e+01 
       4.199178385688e-05      -1.740360522951e-06      -1.680040942779e-07      -2.799000632316e-07       4.970828705112e-16      -2.798327788008e-07      -2.799000632316e-07       2.799000632316e-07      -2.798327788008e-07       9.527768952227e+01 
       5.286452378400e-05      -3.443065801602e-06      -3.325157844940e-07      -2.799000632316e-07       9.150353778788e-02      -5.212869474758e-02      -2.799000632316e-07       2.799000632316e-07      -3.429219010596e-05       1.189790528937e+02 
       6.655249237408e-05      -6.813324948860e-06      -6.580705001033e-07      -2.799000632316e-07       7.951249652267e-03      -4.015078935464e-03      -2.799000632316e-07       2.799000632316e-07      -6.281255245201e-05       1.485743468803e+02 
       8.378462386796e-05      -1.348228061646e-05      -1.302374626220e-06      -2.799000632316e-07      -6.181428565101e-03      -2.731209385686e-03      -2.799000632316e-07       2.799000632316e-07      -1.177681249615e-04       1.855270666640e+02 
       1.054785921050e-04      -2.667691781156e-05      -2.577412379573e-06      -1.694320355833e-01      -4.817594930345e-03      -2.030640271050e-03      -4.987333862432e-03       1.156399032189e-05      -2.247015397105e-04       2.316622451898e+02 
       1.327896800012e-04      -5.277916595851e-05      -5.100438030204e-06      -1.699048008633e-01      -2.956697782238e-03      -1.219822399104e-03      -7.905090827163e-03       2.244986149618e-05      -4.340593519126e-04       2.892536355561e+02 
       1.671723025776e-04      -1.044056954570e-04      -1.009235614308e-05      -1.706516977633e-01      -2.013792592780e-03      -7.646289486948e-04      -1.252140021583e-02       3.257056825180e-05      -8.455047160781e-04       3.611302914443e+02 
       2.104574598631e-04      -2.064862545306e-04      -1.996720401038e-05      -1.718397359272e-01      -1.612570543664e-03      -4.917836845695e-04      -1.983272345411e-02       4.463962963752e-05      -1.655933832059e-03       4.508048767111e+02 
       2.649502443233e-04      -4.082438735102e-04      -3.949549925724e-05      -1.737290092311e-01      -1.610518078881e-03      -3.208707139640e-04      -3.141479417339e-02       6.182872514078e-05      -3.254195636863e-03       5.626249114091e+02 
       3.335525954396e-04      -8.067618105324e-04      -7.809654915395e-05      -1.767301472259e-01      -1.986854948748e-03      -2.111428385349e-04      -4.976472801766e-02       9.031181425690e-05      -6.407621245282e-03       7.019451752202e+02 
       4.199178385688e-04      -1.593214563562e-03      -1.543449972348e-04      -1.814940603752e-01      -2.817480432710e-03      -1.409141688779e-04      -7.883700833057e-02       1.439270101679e-04      -1.262842273975e-02       8.753140656957e+02 
       5.286452378400e-04      -3.143205800318e-03      -3.048017865033e-04      -1.890544826815e-01      -4.274763874233e-03      -9.632869170530e-05      -1.248952569701e-01       2.559897176066e-04      -2.489081188767e-02       1.090658682762e+03 
       6.655249237408e-04      -6.192371430322e-03      -6.012439672234e-04      -2.010481284614e-01      -6.658551236257e-03      -7.775370854582e-05      -1.978563988515e-01       5.066884379286e-04      -4.902766946193e-02       1.357444530998e+03 
       8.378462386796e-04      -1.217543067056e-02      -1.184094826758e-03      -2.200682603336e-01      -1.045703707981e-02      -1.562546239339e-04      -3.134126880510e-01       1.089359057827e-03      -9.643341367284e-02       1.686777740728e+03 
       1.054785921050e-03      -2.387522469185e-02      -2.326835253314e-03      -2.502217471589e-01      -1.642869348265e-02      -3.161969223710e-04      -4.963740564873e-01       2.468227038598e-03      -1.892520345112e-01       2.091399738682e+03 
       1.327896800012e-03      -4.665087519086e-02      -4.558951266376e-03      -2.980082968559e-01      -2.571316061068e-02      -6.829613510971e-04      -7.859132529429e-01       5.748318023171e-03      -3.702252342779e-01       2.585451760056e+03 
       1.671723025776e-03      -9.072201209894e-02      -8.897324840590e-03      -3.737057255974e-01      -3.995339365614e-02      -1.569366163903e-03      -1.243753813821e+00       1.352977224922e-02      -7.210768350143e-01       3.183692313991e+03 
